Auditing Firm,Firm Website,Audited Application,Market Value,Application Website
certora,https://www.certora.com/,Lido,$14.727b,https://lido.fi/
,,AAVE,$4.856b,https://aave.com/
certik,https://www.certik.com/,JustLend,$4.64b,https://portal.justlend.org/
,,Uniswap,$3.22b,https://uniswap.org/
,,stUSDT,$1.784b,https://twitter.com/stusdt
,,JustStables,$1.522b,https://just.network/
peckshield,https://peckshield.com/,AAVE,$4.856b,https://aave.com/
,,MakerDAO,$4.519b,https://makerdao.com/en/
,,Instadapp,$1.908b,https://instadapp.io/
,,Convex Finance,$1.867b,https://www.convexfinance.com/
,,PancakeSwap,$1.365b,https://pancakeswap.finance/
quantstamp,https://quantstamp.com/,Lido,$14.727b,https://lido.fi/
,,Curve Finance,$2.105b,https://curve.fi/#/ethereum/swap
ABDK,https://abdk.consulting/,AAVE,$4.856b,https://aave.com/
blocksec,https://blocksec.com/,PancakeSwap,$1.365b,https://pancakeswap.finance/
chainsecurity,https://chainsecurity.com/,Lido,$14.727b,https://lido.fi/
,,Uniswap,$3.22b,https://uniswap.org/
,,Summer.fi,$2.239b,https://app-summer.fi/
consensys diligence,https://consensys.io/diligence/,Uniswap,$3.22b,https://uniswap.org/
,,Rocket Pool,$1.795b,https://rocketpool.net/
defisafety,https://www.defisafety.com/,Uniswap,$3.22b,https://uniswap.org/
Hexens,https://hexens.io/,Lido,$14.727b,https://lido.fi/
mixbytes,https://mixbytes.io/,Lido,$14.727b,https://lido.fi/
,,Convex Finance,$1.867b,https://www.convexfinance.com/
OpenZeppelin,https://www.openzeppelin.com/,AAVE,$4.856b,https://aave.com/
,,Coinbase Wrapped Staked ETH,$2.254b,https://www.coinbase.com/cbeth
,,Compound Finance,$1.944b,https://compound.finance/
OtterSec,https://osec.io/,PancakeSwap,$1.365b,https://pancakeswap.finance/
Oxorio,https://oxor.io/,Lido,$14.727b,https://lido.fi/
runtime verification,https://runtimeverification.com/,MakerDAO,$4.519b,https://makerdao.com/en/
sigmaprime,https://sigmaprime.io/,Lido,$14.727b,https://lido.fi/
,,AAVE,$4.856b,https://aave.com/
,,Rocket Pool,$1.795b,https://rocketpool.net/
slowmist,https://www.slowmist.com/,PancakeSwap,$1.365b,https://pancakeswap.finance/
statemind,https://statemind.io/,Lido,$14.727b,https://lido.fi/
trail of bits,https://www.trailofbits.com/,AAVE,$4.856b,https://aave.com/
,,MakerDAO,$4.519b,https://makerdao.com/en/
,,Curve Finance,$2.105b,https://curve.fi/#/ethereum/swap
,,Compound Finance,$1.944b,https://compound.finance/
,,Rocket Pool,$1.795b,https://rocketpool.net/
Zellic,https://www.zellic.io/,PancakeSwap,$1.365b,https://pancakeswap.finance/
